name,country,taxonomy,lat,lng
,,,,,
Agarwall Bina,,India ,Economics ,,
Tan Ankui,Sun Yat-sen University,China ,Political Science ,14.3601770401001,-14.4676847457886
Tan Beifang,Fudan University,China ,Comparative Literature,31.2988891601562,121.499168395996
Tanaka Yoko,Tsukuba University,Japan ,Economic History,36.0349006652832,140.080154418945
Tanaka Seiji,Osaka University,Japan ,Law ,34.8191680908203,135.526672363281
Tanaka Issei,Kyushu University ,Japan ,Education ,33.6278381347656,130.422973632812
Tanaka Shigeaki,Kyoto University,Japan ,Law ,35.0262107849121,135.780838012695
Tanaka Kyoko,National University of Singapore,Singapore ,Modern Chinese History,1.29555594921112,103.776664733887
Tang Man-Keung,Harvard University,Hong Kong ,Economics ,42.3734741210938,-71.1179580688477
Tang Xiaobing,East China Normal University,China ,History ,42.7576217651367,-82.4837265014648
Tang Shao-jie,Tsinghua University ,China ,Philosophy,40,116.326667785645
Tang Chi,National Chengchi University,Taiwan,History ,46.9460830688477,7.43722105026245
Tang Jigen,Chinese Academy of Social Sciences,China ,Archaeology ,34.0215530395508,-118.283737182617
Tang Wenming,Tsinghua University ,China ,Ethics,40,116.326667785645
Tang Hongfeng,Chinese National Academy of Arts,China ,Art History ,37.7877883911133,-122.400886535645
Tanigawa Yoshihiko,Kyushu University ,Japan ,International Politics,33.6278381347656,130.422973632812
Taniguchi Yasuhei,Kyoto University,Japan ,Law ,35.0262107849121,135.780838012695
Taniuchi Yuzuru,University of Tokyo ,Japan ,Law ,35.7133331298828,139.762222290039
Tao Lei,Shandong University ,China ,Philosophy,36.4687118530273,118.517127990723
Taura Takeo,Nagoya University ,Japan ,Education ,35.1506500244141,136.919036865234
Teng Wei,South China Normal University ,China ,Comparative Literature,44.3972511291504,-69.5694427490234
Tenzin Tsundue ,Southwest University for Nationalities,China ,Political Economy,42.3196296691895,-83.0973968505859
Teo Victor Ee-Leong,University of Hong Kong ,Hong Kong ,Anthropology,22.2841663360596,114.13777923584
Terada Kazuo,University of Tokyo ,Japan ,Anthropology,35.7133331298828,139.762222290039
Thach Huon,Cantho University,Vietnam ,Law ,10.0365295410156,105.787353515625
Thepkanjana Kingkarn,Chulalongkorn University,Thailand,Linguistics ,32.8453598022461,-96.796989440918
Thun Theara,National University of Singapore,Cambodia,History ,1.29555594921112,103.776664733887
Tian Wuxiong,Peking University ,China ,Modern Chinese History,39.9897232055664,116.305274963379
Ting Jen-Chieh,Academia Sinica ,Taiwan,Sociology ,40.5150184631348,20.8693809509277
Toba Kin'ichiro,Waseda University ,Japan ,Economic History,35.7092018127441,139.719329833984
Toda Noriko,Harvard University,Japan ,Music ,42.3734741210938,-71.1179580688477
Tokumori  Makoto,University of Tokyo ,Japan ,Comparative Literature,35.7133331298828,139.762222290039
Tokumoto Mamoru,Kyushu University ,Japan ,Civil Law ,33.6278381347656,130.422973632812
Tokumoto Masahiko,Kyushu University ,Japan ,Political Science ,33.6278381347656,130.422973632812
Tokunaga-Yokoyama Akiko,Hitotsubashi University ,Japan ,Linguistics ,32.8453598022461,-96.796989440918
Tomida Yasuhiko,Kyoto University,Japan ,Philosophy,35.0262107849121,135.780838012695
Tomioka Yoshiko,,Japan ,Journalism,,
Ton Nu Nhu Huong,Hue University,Vietnam ,English Education ,16.4666481018066,107.58470916748
Tong Qing-Sheng,University of Hong Kong ,Hong Kong ,Literature,22.2841663360596,114.13777923584
Tong Mingkang,,China ,,,
Totoki Toshichika,Keio University ,Japan ,Sociology ,35.6491661071777,139.742782592773
Tran Thuan,Hue University,Vietnam ,English Education ,16.4666481018066,107.58470916748
Tran Ngoc Anh,Harvard University,Vietnam ,Public Policy,42.3734741210938,-71.1179580688477
Tran Quang Minh,,Vietnam ,Economics ,,
,,,,,
Tran Min Thanh,Cantho University,Vietnam ,Library Science,10.0365295410156,105.787353515625
Tran Thuan,Hue University,Vietnam ,Linguistics ,16.4666481018066,107.58470916748
Tran Quoc Hung,Cantho University,Vietnam ,English Education ,10.0365295410156,105.787353515625
Tran Thi Phuong,Vietnam National University-Hanoi ,Vietnam ,,16.1676921844482,107.839050292969
Tran Thi Bich Ngoc,Southern Institute of Social Sciences,Vietnam ,History ,29.9423809051514,-90.118896484375
Tran Thi Hai Yen,Institute of Literature,Vietnam ,Vietnamese Literature ,38.3835906982422,-81.7656936645508
Tran Minh Hang,Australian National University,Vietnam ,Anthropology,-35.2778091430664,149.126434326172
Tran Thi An,Vietnam Academy of Social Sciences,Vietnam ,Folklore,16.1676921844482,107.839050292969
Tran Thi Phuong,Vietnam National University-Hanoi ,Vietnam ,Library Science,16.1676921844482,107.839050292969
Tran Dang Trung,Vietnam National University-Hanoi ,Vietnam ,Literature,16.1676921844482,107.839050292969
Tran Phuong Hoa,Vietnam Academy of Social Sciences,Vietnam ,History ,16.1676921844482,107.839050292969
Trin Quoc Lap,Cantho University,Vietnam ,English Education ,10.0365295410156,105.787353515625
Truong Chi Huyen,,Vietnam ,Anthropology,,
Truong Vo Dung,Cantho University,Vietnam ,English Education ,10.0365295410156,105.787353515625
Truong Thi Kim Chuyen,,Vietnam ,Human Geography,,
Tsai Chi-ching,Tunghai University,Taiwan,Political Science ,32.8453598022461,-96.796989440918
Tsang Cheng-hwa,Academia Sinica ,Taiwan,Anthropology,40.5150184631348,20.8693809509277
Tsaur Tien-wang,Academia Sinica ,Taiwan,Economics ,40.5150184631348,20.8693809509277
Tsche Chong-Kil,Seoul National University ,Korea ,Civil Law ,37.4599990844727,126.949996948242
Tschong Unsun,Seoul National University ,Korea ,Philosophy,37.4599990844727,126.949996948242
Tseng Yong-Yih,National Taiwan University,Taiwan,Comparative Literature,23.7489929199219,120.971282958984
Tsou Heng,Peking University ,China ,Archaeology ,39.9897232055664,116.305274963379
Tsuchida Kaniyasu,Kobe Women's University ,Japan ,American Literature ,34.7038803100586,135.222427368164
Tsuchida Kuniyasu,,,,,
Tsueshita Ryuei,University of Tokyo ,Japan ,Philosophy,35.7133331298828,139.762222290039
Tsunemoto Teruki,Hokkaido University ,Japan ,Law ,43.5393257141113,142.437515258789
Tu Qiyu,Shanghai Academy of Social Sciences ,China ,History ,31.2026710510254,121.511947631836
Tu Cheng-sheng,Academia Sinica ,Taiwan,History ,40.5150184631348,20.8693809509277
Tung Yuan-Chao,National Taiwan University,Taiwan,Archaeology ,23.7489929199219,120.971282958984
Tung Tung-ho,National Taiwan University,Taiwan,Linguistics ,23.7489929199219,120.971282958984
Uchida Jun,Harvard University,Japan ,Japanese History,42.3734741210938,-71.1179580688477
Uchida Taneomi,Waseda University ,Japan ,Semiotics ,35.7092018127441,139.719329833984
Udagawa Masaru,Hosei University,Japan ,Business History,32.8453598022461,-96.796989440918
Ueda Masanobu,Hokkaido University ,Japan ,Literature,43.5393257141113,142.437515258789
Uehara Satoshi,Tohoku University ,Japan ,Linguistics ,38.9000015258789,140.682998657227
Ueki Toshiya,Tohoku University ,Japan ,Law ,38.9000015258789,140.682998657227
Uno Yoshiyasu,Keio University ,Japan ,Social Psychology ,35.6491661071777,139.742782592773
Vaidyanathan Veda,Mumbai University,India ,African Studies,18.9401206970215,72.8348617553711
Venakatramanan K.,Visvabharti University,India ,Buddhism,23.7165336608887,87.6532363891602
Vo Van Sen,Ho Chi Minh City University,Vietnam ,History ,10.7782402038574,106.703239440918
Vo Thi Hoang Ai,Vietnam National University - Ho Chi Minh City,Vietnam ,History ,10.7782402038574,106.703239440918
Voon Phin-Keong,University of Malaya,Malaysia,Economic Geography,24.03782081604,86.5390014648438
Vu Minh Khuong,Harvard University,Vietnam ,Public Policy,42.3734741210938,-71.1179580688477
Vu Duong Luan,Vietnam National University-Hanoi ,Vietnam ,History ,16.1676921844482,107.839050292969
Wakai Kunio,Kobe University ,Japan ,Developmental Psychology,34.7038803100586,135.222427368164
Wan Sze-Kar,,,,,
Wan Pei-de (Peter),Harvard University,,,42.3734741210938,-71.1179580688477
Wan Pei-de,East China Normal University,China ,American Literature ,42.7576217651367,-82.4837265014648
Wan Junren,Peking University ,China ,Philosophy,39.9897232055664,116.305274963379
Wan Xiaohong,South China Normal University ,China ,International Politics,44.3972511291504,-69.5694427490234
,,,,,
Wang Bing,Nanyang Technological University,Singapore ,Literature,32.9907302856445,112.528511047363
Wang Bo,Peking University ,China ,,39.9897232055664,116.305274963379
Wang Ming-ke,Academia Sinica ,Taiwan,History ,40.5150184631348,20.8693809509277
Wang Zhongjiang,,,Philosophy,,
Wang Jianping,Shanghai Normal University,China ,Islamic Studies ,31.2026710510254,121.511947631836
Wang Baihua,,China ,Comparative Literature,,
Wang Yuan,Shanghai Jiao Tong University,China ,Art History ,31.0254402160645,121.436302185059
Wang Dandan,Harvard University,China ,History ,42.3734741210938,-71.1179580688477
Wang Nuo,Xiamen University ,China ,Literature,24.4795093536377,118.089477539062
Wang Yugen,Harvard University,China ,Chinese Literature,42.3734741210938,-71.1179580688477
Wang Hongwei,,,,,
Wang Shu-min,Academia Sinica ,Taiwan,Comparative Literature,40.5150184631348,20.8693809509277
Wang Josephine,National Taiwan University,Taiwan,Law ,23.7489929199219,120.971282958984
Wang Wei,Tsinghua University ,China ,Philosophy of Science,40,116.326667785645
Wang Liping,Peking University ,China ,Political Science ,39.9897232055664,116.305274963379
Wang Chia-Chien,National Taiwan Normal University ,Taiwan,History ,23.7489929199219,120.971282958984
Wang Ch'iu-kuei,National Taiwan University,Taiwan,Comparative Literature,23.7489929199219,120.971282958984
Wang Yijiang,Peking University ,China ,Economics ,39.9897232055664,116.305274963379
Wang Xiuli,South China Normal University ,China ,History ,44.3972511291504,-69.5694427490234
Wang Yue-jin,Fudan University,China ,English ,31.2988891601562,121.499168395996
Wang Weijian,Sun Yat-sen University,China ,Law ,14.3601770401001,-14.4676847457886
Wang Cheng-hua,Academia Sinica ,Taiwan,Art History ,40.5150184631348,20.8693809509277
Wang Li,Nankai University ,China ,History ,39.1381492614746,117.150108337402
Wang Lingzhen,Nanjing University,China ,Comparative Literature,32.0561103820801,118.775001525879
Wang Wei,Chinese Academy of Social Sciences,China ,Linguistics ,34.0215530395508,-118.283737182617
Wang Chuanbo,Zhejiang University ,China ,Art History ,30.2636108398438,120.120826721191
Wang Xisu,Nanjing University,China ,English Literature,32.0561103820801,118.775001525879
Wang Kuan-Hsi,Zhejiang University ,Taiwan,Law ,30.2636108398438,120.120826721191
Wang Hong-jun,Peking University ,China ,Linguistics ,39.9897232055664,116.305274963379
Wang  Minghui,Chinese Academy of Social Sciences,China ,Archaeology ,34.0215530395508,-118.283737182617
Wang Huimin,,China ,Art History ,,
Wang Min,Shanghai Academy of Social Sciences ,China ,History ,31.2026710510254,121.511947631836
Wang Xisu,,Hong Kong ,,,
Wang Youping,Peking University ,China ,Archaeology ,39.9897232055664,116.305274963379
Wang Weiping,Peking University ,China ,English ,39.9897232055664,116.305274963379
Wang Shou-ren,Nanjing University,China ,English Literature,32.0561103820801,118.775001525879
Wang Guoqin,Zhejiang Institute of Administration,China ,Political Science ,29.2472038269043,120.442726135254
Wang Yao,,China ,Literature,,
Wang Hui,Tsinghua University ,China ,Intellectual History,40,116.326667785645
Wang Meng,,China ,,,
Wang Chiu-kuei,,,,,
Wang Bei,Minzu University of China,China ,Linguistics ,36.5631141662598,103.735809326172
Wang Chiu-kuei,,,,,
Wang Qilong,Tsinghua University ,China ,Linguistics ,40,116.326667785645
Wang Jianmin,Minzu University of China,China ,Anthropology,36.5631141662598,103.735809326172
Wang Yuesheng,Chinese Academy of Social Sciences,China ,Population Studies,34.0215530395508,-118.283737182617
Wang Ting-Yi,Harvard University,China ,Chinese Literature,42.3734741210938,-71.1179580688477
Wang Zhenzhong,Fudan University,China ,Historical Geography,31.2988891601562,121.499168395996
Wang Yumeng,Nankai University ,China ,History of Medicine,39.1381492614746,117.150108337402
Wang Huanruo,Harvard University,China ,Comparative Literature,42.3734741210938,-71.1179580688477
,,,,,
Wangdue Shargan,Institute for Tibetan Cultural Relics,China ,Archaeology ,40.4440002441406,-80
Wangling Jinghua,Harvard University,China ,Chinese Literature,42.3734741210938,-71.1179580688477
Watanabe Hideki,,Japan ,,,
Watanabe Masao,Denki University,Japan ,History of Science,32.8453598022461,-96.796989440918
Wei Qing-yuan,Renmin University of China,China ,Chinese History ,36.5631141662598,103.735809326172
Wei Yan,Harvard University,China ,Chinese Literature,42.3734741210938,-71.1179580688477
Wei Bingbing,National University of Singapore,Singapore ,History ,1.29555594921112,103.776664733887
Wei Bin,Wuhan University,China ,History ,30.5408306121826,114.361106872559
Wei Qiaowei,Shandong University ,China ,Archaeology ,36.4687118530273,118.517127990723
Wei Quan,East China Normal University,China ,Literature,42.7576217651367,-82.4837265014648
Wei Chaoyong,Sun Yat-sen University,China ,Modern Chinese Literature,14.3601770401001,-14.4676847457886
Wen Qiufang,,China ,,,
Wen Chung-i,Academia Sinica ,Taiwan,Anthropology,40.5150184631348,20.8693809509277
Wen Xin,Harvard University,China ,Inner Asian and Altaic Studies,42.3734741210938,-71.1179580688477
Wey Laura Jane,Harvard University,Taiwan,Comparative Literature,42.3734741210938,-71.1179580688477
Whang Hue-young,Chung-Ang University,Korea ,Korean Literature ,35.856219,126.988803
Won Woo-hyun,Korea University,Korea ,Communication,36.4511566162109,127.861145019531
Won Jae-Youn,Yonsei University ,Korea ,Sociology ,32.8453598022461,-96.796989440918
Wong Aline K.,National University of Singapore,Singapore ,Sociology ,1.29555594921112,103.776664733887
Wong John C.H.,National University of Singapore,Singapore ,Economic Development,1.29555594921112,103.776664733887
Wong Yuk,Chinese University of Hong Kong ,Hong Kong ,Chinese Philosophy,22.2841663360596,114.13777923584
Wong Yuk,Chinese University of Hong Kong ,Hong Kong ,Chinese Philosophy,22.2841663360596,114.13777923584
Wong Siu-lun,University of Hong Kong ,Hong Kong ,Sociology ,22.2841663360596,114.13777923584
Wong Thomas,University of Hong Kong ,Hong Kong ,Sociology ,22.2841663360596,114.13777923584
Wong Joseph,University of Hong Kong ,Hong Kong ,History ,22.2841663360596,114.13777923584
Wong Wan-chi,Chinese University of Hong Kong ,Hong Kong ,Education ,22.2841663360596,114.13777923584
Wong Wang-chi,Chinese University of Hong Kong ,Hong Kong ,Literature,22.2841663360596,114.13777923584
Wong Wai-ho (Wilson),Chinese University of Hong Kong ,Hong Kong ,Political Science ,22.2841663360596,114.13777923584
Woo Jeson,Dongguk University,Korea ,Religious Studies,32.8453598022461,-96.796989440918
Wu Xiaodong,Chinese Academy of Social Sciences,China ,Literature,34.0215530395508,-118.283737182617
Wu Guosheng,Peking University ,China ,Philosophy,39.9897232055664,116.305274963379
Wu Min,Harvard University,China ,,42.3734741210938,-71.1179580688477
Wu Zuofu,Nanjing University,China ,Sociology ,32.0561103820801,118.775001525879
Wu Fei,Harvard University,China ,Anthropology,42.3734741210938,-71.1179580688477
Wu Chongqing,Guangzhou Academy of Social Sciences,China ,Rural China,23.1290798187256,113.264358520508
Wu Jiang,Harvard University,China ,Religious Studies,42.3734741210938,-71.1179580688477
Wu Eugene,,,,,
Wu Haiyun,East China Normal University,China ,Cultural Studies,42.7576217651367,-82.4837265014648
Wu Genyou,Wuhan University,China ,Philosophy,30.5408306121826,114.361106872559
Wu Cuncun,University of Hong Kong ,Hong Kong ,Literature,22.2841663360596,114.13777923584
Wu Songdi,Fudan University,China ,Historical Geography,31.2988891601562,121.499168395996
Wu Xiaoqun,Shanghai Academy of Social Sciences ,China ,Religious Studies,31.2026710510254,121.511947631836
Wu Xiaohong,Peking University ,China ,Archaeology ,39.9897232055664,116.305274963379
Wu Xiaoming,,,Philosophy,,
Wu Guangxing,Chinese Academy of Social Sciences,China ,Literature,34.0215530395508,-118.283737182617
Wu Wenling,Chinese Academy of Social Sciences,China ,History ,34.0215530395508,-118.283737182617
Wu Chi-hua,Australian National University,Australia ,Chinese History ,-35.2778091430664,149.126434326172
Wu Yun-Ming,Central Academy of Drama,China ,Theatre Arts,29.6552772521973,-81.6405563354492
Wu Chuan-feng,Academia Sinica ,Taiwan,Law ,40.5150184631348,20.8693809509277
Wu Shengqing,Hong Kong University of Science and Technology,Hong Kong ,Literature,22.3374996185303,114.263000488281
,,,,,
Wu Wen-hsing,National Taiwan Normal University ,Taiwan,History ,23.7489929199219,120.971282958984
Wu Shengqing,Hong Kong University of Science and Technology,Hong Kong ,Literature,22.3374996185303,114.263000488281
Wu Yungui,Chinese Academy of Social Sciences,China ,Islamic Studies ,34.0215530395508,-118.283737182617
Wu Keping,,China ,Anthropology,,
Wu Huaizhong,Chinese Academy of Social Sciences,China ,International Relations ,34.0215530395508,-118.283737182617
Wu Xueshan,Minzu University of China,China ,Art History ,36.5631141662598,103.735809326172
Wu Fengshi,Chinese University of Hong Kong ,Hong Kong ,Political Science ,22.2841663360596,114.13777923584
Wu Xu,East China Normal University,China ,Anthropology,42.7576217651367,-82.4837265014648
Wu Chunming,Xiamen University ,China ,Archaeology ,24.4795093536377,118.089477539062
Xia Mingfang,Renmin University of China,China ,History ,36.5631141662598,103.735809326172
Xia Junxia,Nankai University ,China ,History ,39.1381492614746,117.150108337402
Xia Chun Tao,Chinese Academy of Social Sciences,China ,Archaeology ,34.0215530395508,-118.283737182617
Xiao Diwen,Sun Yat-sen University,China ,Social Policy ,14.3601770401001,-14.4676847457886
Xiao Bin,Sun Yat-sen University,China ,Philosophy,14.3601770401001,-14.4676847457886
Xiao Yongping,Wuhan University,China ,Law ,30.5408306121826,114.361106872559
Xie Qiong,Peking University ,China ,Comparative Literature,39.9897232055664,116.305274963379
Xie Yifeng,Fudan University,China ,History ,31.2988891601562,121.499168395996
Xie Jisheng,Chinese Academy of Social Sciences,China ,Tibetan Studies ,34.0215530395508,-118.283737182617
Xie Zhaoguo,Wuhan University,China ,Law ,30.5408306121826,114.361106872559
Xing Wen,Chinese Academy of Social Sciences,China ,History ,34.0215530395508,-118.283737182617
Xu Xingwu,Nanjing University,China ,Comparative Literature,32.0561103820801,118.775001525879
Xu Shaohua,Wuhan University,China ,History ,30.5408306121826,114.361106872559
Xu Pei,Sichuan University,China ,Visual Cultural Studies,30.6250896453857,102.697280883789
Xu Youyu,,,Philosophy,,
Xu Zairong,Chinese Academy of Social Sciences,China ,History ,34.0215530395508,-118.283737182617
Xu Zhao-Ren,Renmin University of China,China ,History ,36.5631141662598,103.735809326172
Xu Jun,Sichuan University,China ,Tibetan Studies ,30.6250896453857,102.697280883789
Xu Jilin,East China Normal University,China ,History ,42.7576217651367,-82.4837265014648
Xu Zhaochang,Jilin University,China ,History ,43.8378410339355,126.549438476562
Xu Mingqi,Shanghai Academy of Social Sciences ,China ,Economics ,31.2026710510254,121.511947631836
Xu Yawen,Wuhan University,China ,Law ,30.5408306121826,114.361106872559
Xu Jian,Sun Yat-sen University,China ,Archaeology ,14.3601770401001,-14.4676847457886
Xu Lanjun,National University of Singapore,Singapore ,Literature,1.29555594921112,103.776664733887
Xu Xinjian,Sichuan University,China ,Comparative Literature,30.6250896453857,102.697280883789
Xu Guoqi,Harvard University,China ,History ,42.3734741210938,-71.1179580688477
Xu Yongming,Zhejiang University ,China ,Comparative Literature,30.2636108398438,120.120826721191
Xuan Fang,,,Philosophy,,
Xue Junzhi,Chinese Academy of Social Sciences,China ,Russian Literature,34.0215530395508,-118.283737182617
Xue Julia Junzhi,,China ,,,
Xue Yu,Chinese University of Hong Kong ,Hong Kong ,Religious Studies,22.2841663360596,114.13777923584
Yagi Atsuru,Yamaguchi University,Japan ,Japanese History,34.1732597351074,131.47900390625
Yagyu Tokutaro,Tokyo Woman's Christian College,Japan ,Economic Theory ,35.6899261474609,139.691757202148
Yamada Nobuo,Osaka University,Japan ,Turkish Studies,34.8191680908203,135.526672363281
Yamada Hiroyuki,Kyoto University,Japan ,Economics ,35.0262107849121,135.780838012695
Yamada Naomichi,Hiroshima University,Japan ,English Literature,34.3790397644043,132.469787597656
Yamamoto Makoto,University of Tokyo ,Japan ,Philosophy,35.7133331298828,139.762222290039
Yamamuro Shinichi,Kyoto University,Japan ,Intellectual History,35.0262107849121,135.780838012695
Yamaori Tetsuo,,Japan ,History of Religion,,
Yamashiro Hiromichi,Hiroshima University,Japan ,Medieval History,34.3790397644043,132.469787597656
Yamashita Masao,Kyoto University,Japan ,Philosophy,35.0262107849121,135.780838012695
,,,,,
Yamato Narusa,Harvard University,Japan ,Modern Japanese History ,42.3734741210938,-71.1179580688477
Yamauchi Fumitaka,National Taiwan University,Taiwan,Anthropology,23.7489929199219,120.971282958984
Yamazaki-Unno Noriko,University of Tokyo ,Japan ,History ,35.7133331298828,139.762222290039
Yan Feng,Fudan University,China ,Literature,31.2988891601562,121.499168395996
Yan Xiaojun,University of Hong Kong ,Hong Kong ,Political Science ,22.2841663360596,114.13777923584
Yan Shian,Nanjing University,China ,Chinese History ,32.0561103820801,118.775001525879
Yan Si-Guang,,China ,,,
Yan Jia,Sichuan University,China ,Literature,30.6250896453857,102.697280883789
Yan Kejia,Shanghai Academy of Social Sciences ,China ,Religious Studies,31.2026710510254,121.511947631836
Yan Lijun,University of Hong Kong ,Hong Kong ,Sociology ,22.2841663360596,114.13777923584
Yan Xue,Renmin University of China,China ,Tibetan Studies ,36.5631141662598,103.735809326172
Yanagawa Keiichi,University of Tokyo ,Japan ,Sociology ,35.7133331298828,139.762222290039
Yang Zhefeng,Peking University ,China ,Archaeology ,39.9897232055664,116.305274963379
Yang Renching,Nanjing University,China ,English Literature,32.0561103820801,118.775001525879
Yang Zhizhong,Nanjing University,China ,English ,32.0561103820801,118.775001525879
Yang Zong-sui,Sichuan University,China ,American History,30.6250896453857,102.697280883789
Yang Ching-leng,University of Malaya,Malaysia,Comparative Literature,24.03782081604,86.5390014648438
Yang Yeh,Xinghai Conservatory of Music ,China ,Music ,53.5395355224609,-113.491539001465
Yang Xiao-Shan,Peking University ,China ,English Literature,39.9897232055664,116.305274963379
Yang Tsui-hua,Academia Sinica ,Taiwan,History ,40.5150184631348,20.8693809509277
Yang Zhizhong,Nanjing University,China ,English ,32.0561103820801,118.775001525879
Yang Meongcho,Ewha Womans University,Korea ,Law ,32.8453598022461,-96.796989440918
Yang Bin,National University of Singapore,Singapore ,Chinese History ,1.29555594921112,103.776664733887
Yang Xiaoshan,,China ,,,
Yang Eun Gyeng,Pusan National University ,Korea ,Archaeology ,35.1779289245605,129.078475952148
Yang Guorong,,,,,
Yang Guo,Wuhan University,China ,History ,30.5408306121826,114.361106872559
Yang Qian,Shandong University ,China ,Archaeology ,36.4687118530273,118.517127990723
Yang Hyun-Kwon,Seoul National University ,Korea ,Linguistics ,37.4599990844727,126.949996948242
Yang Wenjiang,Nankai University ,China ,Linguistics ,39.1381492614746,117.150108337402
Yang Gongwei,Southwest University for Nationalities,China ,History of Buddhism,42.3196296691895,-83.0973968505859
Yang Qingfan,Sichuan University,China ,Archaeology ,30.6250896453857,102.697280883789
Yang Lin,Jilin University,China ,Archaeology ,43.8378410339355,126.549438476562
Yang Haosheng,Harvard University,China ,Chinese Literature,42.3734741210938,-71.1179580688477
Yang Lianfen,Beijing Normal University ,China ,Modern Chinese Literature,39.9572219848633,116.362503051758
Yang Luwei,Nankai University ,China ,History ,39.1381492614746,117.150108337402
Yang Yang,East China Normal University,China ,Literature,42.7576217651367,-82.4837265014648
Yang Xiaodong,Chinese University of Hong Kong ,Hong Kong ,History ,22.2841663360596,114.13777923584
Yang Kuisong,East China Normal University,China ,History ,42.7576217651367,-82.4837265014648
Yang Xiaoliu ,Sun Yat-sen University,China ,Anthropology,14.3601770401001,-14.4676847457886
Yang Yang,Kyoto University,Japan ,History ,35.0262107849121,135.780838012695
Yang Baoli,Beijing Normal University ,China ,Comparative Literature,39.9572219848633,116.362503051758
Yang Nan,Minzu University of China,China ,Archaeology ,36.5631141662598,103.735809326172
Yang Jincai,Nanjing University,China ,English ,32.0561103820801,118.775001525879
Yang Hsi-mei,Academia Sinica ,Taiwan,Comparative Literature,40.5150184631348,20.8693809509277
Yang Ching-mai,National Taiwan Normal University ,Taiwan,English ,23.7489929199219,120.971282958984
Yang Shu-yuan,Academia Sinica ,Taiwan,Anthropology,40.5150184631348,20.8693809509277
Yang Seung-doo,Yonsei University ,Korea ,Law ,32.8453598022461,-96.796989440918
Yao Yuan,Nanjing University,China ,Political Science ,32.0561103820801,118.775001525879
Yao Yusheng,University of Minnesota,China ,History ,44.9734497070312,-93.2378997802734
,,,,,
Yao Shu-ping,Academia Sinica ,China ,History of Science,40.5150184631348,20.8693809509277
Yao Ronald Rong-song,National Taiwan Normal University ,Taiwan,Comparative Literature,23.7489929199219,120.971282958984
Yao Dali,Nanjing University,China ,History ,32.0561103820801,118.775001525879
Yao Dadui,Sun Yat-sen University,China ,Literature,14.3601770401001,-14.4676847457886
Yasaki Mitsukuni,Osaka University,Japan ,Philosophy of Law ,34.8191680908203,135.526672363281
Yau Shuk-ting Kinnia,Chinese University of Hong Kong ,Hong Kong ,Film Studies,22.2841663360596,114.13777923584
Ye Jing,University of International Business and Economics,China ,Political Economy,48.8224449157715,2.33122205734253
Ye Gang,,China ,,,
Yen Ken-wang,Chinese University of Hong Kong ,Hong Kong ,Chinese History ,22.2841663360596,114.13777923584
Yeung Chung-key,Chinese University of Hong Kong ,Hong Kong ,Comparative Literature,22.2841663360596,114.13777923584
Yi Seung-Hee,Seoul National University ,Korea ,Linguistics ,37.4599990844727,126.949996948242
Yi Seonbok,Seoul National University ,Korea ,Archaeology ,37.4599990844727,126.949996948242
Yi Jianping,Chinese Academy of Social Sciences,China ,History ,34.0215530395508,-118.283737182617
Yi Sang-wook,Hanyang University,Korea ,Philosophy of Science,36.755867,126.30135
Yim Ju Tak,Pusan National University ,Korea ,Korean Literature ,35.1779289245605,129.078475952148
Yin Hong,South China Normal University ,China ,History ,44.3972511291504,-69.5694427490234
Yin Weizhang,,,,,
Yin Hai-Kwong,National Taiwan University,Taiwan,Chinese History ,23.7489929199219,120.971282958984
Yin Xiao-huang,Nanjing University,China ,English and American  Literature,32.0561103820801,118.775001525879
Yin Hubin,Chinese Academy of Social Sciences,China ,Literature,34.0215530395508,-118.283737182617
Yinba ,,China ,Tibetan Studies ,,
Yokogoshi Eiichi,Nagoya University ,Japan ,Political Science ,35.1506500244141,136.919036865234
Yokoyama Suguru,Hiroshima University,Japan ,Economic History,34.3790397644043,132.469787597656
Yoo Jaebin,Seoul National University ,Korea ,Archaeology ,37.4599990844727,126.949996948242
Yoo Hong Joon,,,Sociology ,,
Yoon Il Hwan,Pusan National University ,Korea ,Literature,35.1779289245605,129.078475952148
Yoon Chun-jo,Incheon University,Korea ,Comparative Politics,35.664472,126.739392
Yoon Hyoung-Sup,Yonsei University ,Korea ,Political Science ,32.8453598022461,-96.796989440918
Yoon Chang-ho,Korea University,Korea ,Economics ,36.4511566162109,127.861145019531
Yorimitsu Masatoshi,Hitotsubashi University ,Japan ,Economics ,32.8453598022461,-96.796989440918
Yoshida Kunihiko,Hokkaido University ,Japan ,Law ,43.5393257141113,142.437515258789
You Bin,Minzu University of China,China ,Philosophy,36.5631141662598,103.735809326172
Yu Wei-ch'ao,Peking University ,China ,History ,39.9897232055664,116.305274963379
Yu Wen,Harvard University,China ,Chinese History ,42.3734741210938,-71.1179580688477
Yu Wei,Fudan University,China ,Economics ,31.2988891601562,121.499168395996
Yu Shuenn-der,Academia Sinica ,Taiwan,Ethnology ,40.5150184631348,20.8693809509277
Yu Ting,Wuhan University,China ,Chinese Classics,30.5408306121826,114.361106872559
Yu Zhenhua,East China Normal University,China ,Philosophy,42.7576217651367,-82.4837265014648
Yu Baofeng,Harvard University,China ,Religious Studies,42.3734741210938,-71.1179580688477
Yu Jianrong,Chinese Academy of Social Sciences,China ,,34.0215530395508,-118.283737182617
Yu Jin-Yao,Chinese Academy of Social Sciences,China ,European History,34.0215530395508,-118.283737182617
